iter	Passed	Remaining
0	20	1781
1	41	1769
2	49	1393
3	50	1069
4	53	886
5	59	811
6	63	735
7	65	650
8	66	583
9	67	529
10	69	487
11	71	451
12	72	420
13	74	392
14	75	368
15	77	349
16	79	332
17	81	315
18	82	300
19	84	286
20	85	273
21	87	261
22	88	250
23	90	241
24	91	231
25	93	222
26	94	214
27	96	206
28	97	198
29	99	191
30	101	186
31	103	180
32	104	174
33	106	168
34	107	162
35	109	157
36	110	152
37	111	147
38	113	142
39	114	137
40	116	133
41	117	129
42	119	124
43	120	120
44	121	116
45	123	112
46	124	108
47	126	105
48	127	101
49	128	98
50	130	94
51	131	91
52	133	87
53	134	84
54	135	81
55	137	78
56	139	75
57	140	72
58	141	69
59	143	66
60	144	63
61	146	61
62	147	58
63	148	55
64	150	53
65	151	50
66	152	47
67	154	45
68	155	42
69	157	40
70	158	37
71	159	35
72	161	33
73	162	30
74	164	28
75	165	26
76	167	23
77	168	21
78	170	19
79	171	17
80	173	14
81	174	12
82	176	10
83	177	8
84	179	6
85	181	4
86	182	2
87	184	0
